ID_PROPOSTA;QUALIF_PROPONENTE;COD_PROGRAMA_EMENDA;NR_EMENDA;NOME_PARLAMENTAR;BENEFICIARIO_EMENDA;IND_IMPOSITIVO;TIPO_PARLAMENTAR;VALOR_REPASSE_PROPOSTA_EMENDA;VALOR_REPASSE_EMENDA
1160852;BENEFICIARIO_EMENDA_PARLAMENTAR;2012920170027;27690011;ZE SILVA;18026021000141;SIM;INDIVIDUAL;100000;97500
661337;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;50230003;COMISSAO DE DESENVOLVIMENTO URBANO - CDU;8867780000183;NÃO;COMISSAO;987600;987600
858197;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020140001;28190002;VAZ DE LIMA;46643482000107;SIM;INDIVIDUAL;245850;245850
441152;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020110033;24460002;JOAO MAIA;8362915000159;NÃO;INDIVIDUAL;141375;141375
696197;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020130011;28740002;LUIZ NISHIMORI;76973692000116;NÃO;INDIVIDUAL;146250;146250
588850;BENEFICIARIO_EMENDA_PARLAMENTAR;2012920120013;27270007;FRANCISCO TENORIO;12198693000158;NÃO;INDIVIDUAL;2927270;354270
730022;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020130002;24330009;PINTO ITAMARATY;6460026000107;NÃO;INDIVIDUAL;487500;487500
1037784;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020150004;81001566;RELATOR GERAL;11084358000166;NÃO;COMISSAO;499999,5;499999,5
332653;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020100036;18180009;NELSON MARQUEZELLI;2041602000112;NÃO;INDIVIDUAL;100000;92000
1170354;BENEFICIARIO_EMENDA_PARLAMENTAR;4200020170003;27600006;GABRIEL GUMARAES;19138890000120;SIM;INDIVIDUAL;350000;350000
1264443;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020170014;28620006;BOHN GASS;89286249000119;SIM;INDIVIDUAL;100000;100000
492907;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020110005;32300002;JAIME MARTINS;1006232000110;NÃO;INDIVIDUAL;295300;295300
637818;BENEFICIARIO_EMENDA_PARLAMENTAR;4400020120135;27900014;ALFREDO SIRKIS;42498709000109;NÃO;INDIVIDUAL;2000000;234430,74
859831;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020140009;14120009;IRINY LOPES;27165687000171;SIM;INDIVIDUAL;126750;118428
476928;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020110018;10630002;VALDIR COLATTO;83102806000118;NÃO;INDIVIDUAL;97500;97500
763844;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020130002;26910006;IRAJA ABREU;1613127000149;NÃO;INDIVIDUAL;243750;243750
997173;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020150015;28320014;ARMANDO VERGILIO;1738780000134;SIM;INDIVIDUAL;987600;987600
1059902;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020160014;13040009;MAURICIO QUINTELLA LESSA;12264396000163;SIM;INDIVIDUAL;690900;690900
631547;BENEFICIARIO_EMENDA_PARLAMENTAR;5500020120002;20520002;ALVARO DIAS;76417005000186;NÃO;INDIVIDUAL;100000;100000
888040;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020140009;21640005;ABERLADO CAMARINHA;66495110000180;SIM;INDIVIDUAL;250000;250000
1172363;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020170001;25660002;SERGIO MORAES;94577616000173;SIM;INDIVIDUAL;344750;344750
312456;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020100030;14120014;IRINY LOPES;28127926000161;NÃO;INDIVIDUAL;100000;76360
816397;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020130013;24150009;WANDENKOLK GONCALVES;15023922000191;NÃO;INDIVIDUAL;500000;500000
436409;BENEFICIARIO_EMENDA_PARLAMENTAR;5200020110047;24190004;;84736941000188;NÃO;;500000;500000
989824;BENEFICIARIO_EMENDA_PARLAMENTAR;4200020150007;24780008;JO MORAES;19138890000120;SIM;INDIVIDUAL;450000;450000
608424;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;18080009;JORGE TADEU MUDALEN;46523072000114;NÃO;INDIVIDUAL;245850;245850
607646;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;23960023;JANETE ROCHA PIETA;45279643000154;NÃO;INDIVIDUAL;255740;255740
582244;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020120077;29410002;;1612624000122;NÃO;;487500;487500
709793;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020130002;25200005;CARLOS ZARATTINI;43465459000173;NÃO;INDIVIDUAL;292500;292500
592873;BENEFICIARIO_EMENDA_PARLAMENTAR;4200020120108;28780012;MARIA APARECIDA BORGHETTI;76309806000128;NÃO;INDIVIDUAL;100000;100000
861291;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020140001;24890005;VITOR PENIDO;18116160000166;SIM;INDIVIDUAL;243750;243750
1054626;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020160030;32980006;HEITOR SCHUCH;88597984000180;SIM;INDIVIDUAL;146250;146250
439234;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020110019;33600001;SILVIO TORRES;43008291000177;NÃO;INDIVIDUAL;146250;146250
587636;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020120027;71220013;BANCADA DO RIO GRANDE DO SUL;87613014000169;NÃO;BANCADA;97500;97500
858637;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020140001;27590005;EROS BIONDINI;18602011000107;SIM;INDIVIDUAL;243750;243750
1016436;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020150003;27740009;PAULO FOLETTO;36399624000170;SIM;INDIVIDUAL;200000;200000
595567;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;14780004;ROBERTO BALESTRA;1153030000109;NÃO;INDIVIDUAL;987600;987600
859210;BENEFICIARIO_EMENDA_PARLAMENTAR;4200020140005;34300002;MARINHA RAUPP;1254422000156;SIM;INDIVIDUAL;400000;400000
591492;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;27540003;DIEGO ANDRADE;18313882000100;NÃO;INDIVIDUAL;635021,5;635021,5
997423;BENEFICIARIO_EMENDA_PARLAMENTAR;2220320150073;31790022;DOMINGOS DUTRA;1612537000175;SIM;INDIVIDUAL;142500;142500
1067451;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020160014;27690012;ZE SILVA;25209149000106;SIM;INDIVIDUAL;245850;245850
861090;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020140001;28380010;MANDETTA;3510211000162;SIM;INDIVIDUAL;407057;407057
451928;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020110059;22110016;EDUARDO SUPLICY;52803319000159;NÃO;INDIVIDUAL;1000000;847885
1067450;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020160020;29360012;NILSON LEITAO;3507415000810;SIM;INDIVIDUAL;97500;97500
762492;BENEFICIARIO_EMENDA_PARLAMENTAR;5200020130478;21820007;JOSE SARNEY;5990437000133;NÃO;INDIVIDUAL;500000;500000
445846;BENEFICIARIO_EMENDA_PARLAMENTAR;5300020110005;25940004;ZEZEU RIBEIRO;32697583000148;NÃO;INDIVIDUAL;250000;250000
770626;BENEFICIARIO_EMENDA_PARLAMENTAR;2220320130020;28850009;HUMBERTO COSTA;10106250000164;NÃO;INDIVIDUAL;285000;285000
741591;BENEFICIARIO_EMENDA_PARLAMENTAR;5200020130430;23190007;MOZARILDO CAVALCANTI;4056206000194;NÃO;INDIVIDUAL;400000;400000
1055721;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020160008;38060006;FATIMA BEZERRA;8084691000160;SIM;INDIVIDUAL;243750;243750
1166453;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020170001;15680003;GILBERTO NASCIMENTO;45944428000120;SIM;INDIVIDUAL;295300;295300
759023;BENEFICIARIO_EMENDA_PARLAMENTAR;5500020130006;36140005;MILTON MONTI;46634200000105;NÃO;INDIVIDUAL;100000;100000
1173309;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020170010;28990006;RICARDO FERRACO;27167345000190;SIM;INDIVIDUAL;243750;243750
587464;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020120003;24030001;JOAQUIM BELTRAO SIQUEIRA;12264230000147;NÃO;INDIVIDUAL;780000;780000
771172;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020130013;22530005;CASILDO MALDANER;1612528000184;NÃO;INDIVIDUAL;344750;344750
1165226;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020170010;32620010;JOSE ROCHA;13982616000157;SIM;INDIVIDUAL;243750;243750
1004437;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020150041;81000294;RELATOR GERAL;18303198000148;NÃO;COMISSAO;243750;241312,5
370899;BENEFICIARIO_EMENDA_PARLAMENTAR;2012420100013;19630013;ASSIS DO COUTO;77774867000129;NÃO;INDIVIDUAL;200000;200000
784742;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020130011;28740003;LUIZ NISHIMORI;76974823000180;NÃO;INDIVIDUAL;243750;243750
982105;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020150015;24070008;LUIZ CARLOS BUSATO;88349238000178;SIM;INDIVIDUAL;245850;245850
1163456;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020170020;37470005;RICARDO TEOBALDO;11097383000184;SIM;INDIVIDUAL;1130774,78;1130774,78
599533;BENEFICIARIO_EMENDA_PARLAMENTAR;5500020120002;36200005;RICARDO BERZOINI;46680500000112;NÃO;INDIVIDUAL;200000;200000
744158;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020130030;31820001;EDINHO ARAUJO;65711954000158;NÃO;INDIVIDUAL;146250;146250
328574;BENEFICIARIO_EMENDA_PARLAMENTAR;4900020100017;20450013;JOAO RIBEIRO;1636000158;NÃO;INDIVIDUAL;115000;115000
415091;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020110019;25250001;EDSON APARECIDO;45111952000110;NÃO;INDIVIDUAL;117000;117000
600826;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020120868;22380005;JAIRO ATAIDE;22669931000110;NÃO;INDIVIDUAL;400000;400000
859584;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020140001;20450001;JOAO RIBEIRO;2391407000112;SIM;INDIVIDUAL;245850;245850
507556;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020110033;24270017;;24851511000185;NÃO;;292500;288000
1062589;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020160014;33760003;VICENTE ARRUDA;7387392000132;SIM;INDIVIDUAL;1383200;1383200
1170364;BENEFICIARIO_EMENDA_PARLAMENTAR;2220320170009;37440001;REJANE DIAS;6554034000104;SIM;INDIVIDUAL;250800;250800
764771;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020130018;21760001;PAULO PIAU NOGUEIRA;18428839000190;NÃO;INDIVIDUAL;12855600;3638232
311498;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020100030;20290019;MAGNO MALTA;60922168001158;NÃO;INDIVIDUAL;100000;100000
816571;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020130149;27240011;PASTOR EURICO;10859817000173;NÃO;INDIVIDUAL;500000;500000
1170898;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020170005;14450002;GERALDO RESENDE;15412257000128;SIM;INDIVIDUAL;1560000;560000
1061057;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020160014;27210012;JORGE CORTE REAL;11303906000100;SIM;INDIVIDUAL;315080;315080
725754;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020130019;19840009;ONYX LORENZONI;94577590000163;NÃO;INDIVIDUAL;146250;146250
751226;BENEFICIARIO_EMENDA_PARLAMENTAR;2012920130031;36450013;DR. ROSINHA;76958966000106;NÃO;INDIVIDUAL;133344,8;133344,8
1158605;BENEFICIARIO_EMENDA_PARLAMENTAR;5300020170009;37580013;RUBENS PEREIRA JUNIOR;6114631000118;SIM;INDIVIDUAL;1119538;1118418,46
847992;BENEFICIARIO_EMENDA_PARLAMENTAR;5200020140062;26740004;LUIZ CARLOS;394577000125;SIM;INDIVIDUAL;500000;500000
1025920;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020150003;28140007;PENNA;67185694000150;SIM;INDIVIDUAL;400000;330120
1167207;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020170001;35230001;MARCELO CASTRO;6553994000150;SIM;INDIVIDUAL;493100;493100
1084109;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020160049;28890001;AECIO NEVES;24731747000188;SIM;INDIVIDUAL;299998;249999
730078;BENEFICIARIO_EMENDA_PARLAMENTAR;5800020130013;24310003;CARLOS BRANDAO;41479569000169;NÃO;INDIVIDUAL;500000;500000
1170710;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020170037;37790006;WALTER ALVES;4256238000133;SIM;INDIVIDUAL;809769;809769
